Job Title_x,Job Description,Required Skills,Salary Range,Location,Company,Experience Level,Industry,Job Type,Date Posted,externalApplyLink,url,JobID,Job Description	,All,Job Title_y,KNN,TF-IDF,CV,Final
Data Scientist,Optimize real-time data platforms using Vue.js and Java for KMS Technology's machine learning models to enable real-time processing.,"Kubernetes, Vue.js, Java, Golang",35M VND/month - 49M VND/month,Nha Trang,KMS Technology,Mid-Level,Data Science,Full-Time,18/9/2021,https://kms-technology.com/careers/,https://topdev.vn/viec-lam/data-scientist-kms-technology-tai-da-nang-5864710,7372,7372,"Data Scientist,Optimize real-time data platforms using Vue.js and Java for KMS Technology's machine learning models to enable real-time processing.,Kubernetes, Vue.js, Java, Golang,35M VND/month - 49M VND/month,Nha Trang,KMS Technology,Mid-Level,Data Science,Full-Time,18/9/2021,https://kms-technology.com/careers/,https://topdev.vn/viec-lam/data-scientist-kms-technology-tai-da-nang-5864710,7372,7372",Data Scientist,0.10068012310750755,0.1006801231075077,0.31192272030311524,0.5132829665181304
AI Engineer,Lead real-time data platforms using Docker and React for KMS Technology's data pipelines to enhance user experience.,"Kubernetes, React, Docker",34M VND/month - 43M VND/month,Ho Chi Minh City,KMS Technology,Mid-Level,IT Infrastructure,Full-Time,14/7/2021,https://kms-technology.com/careers/,https://itviec.com/viec-lam-it/ai-engineer-kms-technology-9499,7442,7442,"AI Engineer,Lead real-time data platforms using Docker and React for KMS Technology's data pipelines to enhance user experience.,Kubernetes, React, Docker,34M VND/month - 43M VND/month,Ho Chi Minh City,KMS Technology,Mid-Level,IT Infrastructure,Full-Time,14/7/2021,https://kms-technology.com/careers/,https://itviec.com/viec-lam-it/ai-engineer-kms-technology-9499,7442,7442",AI Engineer,0.06932530409978928,0.06932530409978928,0.1056778049222921,0.24432841312187065
AI Engineer,Optimize microservices architecture using Python and React for KMS Technology's machine learning models to support business growth.,"REST API, Python, React",21M VND/month - 33M VND/month,Remote,KMS Technology,Entry-Level,Artificial Intelligence,Full-Time,17/9/2021,https://kms-technology.com/careers/,https://itviec.com/viec-lam-it/web-developer-php-vng-corporation-1839,7633,7633,"AI Engineer,Optimize microservices architecture using Python and React for KMS Technology's machine learning models to support business growth.,REST API, Python, React,21M VND/month - 33M VND/month,Remote,KMS Technology,Entry-Level,Artificial Intelligence,Full-Time,17/9/2021,https://kms-technology.com/careers/,https://itviec.com/viec-lam-it/web-developer-php-vng-corporation-1839,7633,7633",AI Engineer,0.0950300435786288,0.09503004357862865,0.024763682781480334,0.2148237699387378
Full Stack Developer,Optimize real-time data platforms using Java and React for KMS Technology's machine learning models to support business growth.,"Java, React",24M VND/month - 34M VND/month,Da Nang,KMS Technology,Entry-Level,Cybersecurity,Part-Time,15/7/2021,https://kms-technology.com/careers/,https://topdev.vn/viec-lam/java-developer-axon-active-vietnam-tai-da-nang-2043762,8137,8137,"Full Stack Developer,Optimize real-time data platforms using Java and React for KMS Technology's machine learning models to support business growth.,Java, React,24M VND/month - 34M VND/month,Da Nang,KMS Technology,Entry-Level,Cybersecurity,Part-Time,15/7/2021,https://kms-technology.com/careers/,https://topdev.vn/viec-lam/java-developer-axon-active-vietnam-tai-da-nang-2043762,8137,8137",Full Stack Developer,0.01877821360220781,0.018778213602208105,0.08626443596874456,0.12382086317316048
Web App Engineer,Lead real-time data platforms using Java and AWS for KMS Technology's CI/CD pipelines to enable real-time processing.,"REST API, Python, Java, AWS",37M VND/month - 47M VND/month,Remote,KMS Technology,Mid-Level,Data Science,Part-Time,8/11/2021,https://kms-technology.com/careers/,https://itviec.com/viec-lam-it/web-developer-php-vng-corporation-1839,8187,8187,"Web App Engineer,Lead real-time data platforms using Java and AWS for KMS Technology's CI/CD pipelines to enable real-time processing.,REST API, Python, Java, AWS,37M VND/month - 47M VND/month,Remote,KMS Technology,Mid-Level,Data Science,Part-Time,8/11/2021,https://kms-technology.com/careers/,https://itviec.com/viec-lam-it/web-developer-php-vng-corporation-1839,8187,8187",Web App Engineer,0.020006408113510215,0.020006408113510215,0.22597284078590363,0.26598565701292404
Full Stack Developer,Architect real-time data platforms using Vue.js and Spring Boot for KMS Technology's machine learning models to enhance user experience.,"Spring Boot, Vue.js",56M VND/month - 68M VND/month,Ho Chi Minh City,KMS Technology,Senior-Level,Cloud Computing,Full-Time,14/8/2021,https://kms-technology.com/careers/,https://topdev.vn/viec-lam/senior-full-stack-developer-kms-technology-tai-ho-chi-minh-2043890,8373,8373,"Full Stack Developer,Architect real-time data platforms using Vue.js and Spring Boot for KMS Technology's machine learning models to enhance user experience.,Spring Boot, Vue.js,56M VND/month - 68M VND/month,Ho Chi Minh City,KMS Technology,Senior-Level,Cloud Computing,Full-Time,14/8/2021,https://kms-technology.com/careers/,https://topdev.vn/viec-lam/senior-full-stack-developer-kms-technology-tai-ho-chi-minh-2043890,8373,8373",Full Stack Developer,0.12092674733290387,0.12092674733290387,0.006516524543946171,0.2483700192097539
DevOps Engineer,Design real-time data platforms using Flutter and Pandas for KMS Technology's data pipelines to support business growth.,"Pandas, Flutter, Azure",16M VND/month - 31M VND/month,Remote,KMS Technology,Entry-Level,Data Science,Contract-Type,2/8/2022,https://kms-technology.com/careers/,https://topdev.vn/viec-lam/java-developer-axon-active-vietnam-tai-da-nang-2043762,8695,8695,"DevOps Engineer,Design real-time data platforms using Flutter and Pandas for KMS Technology's data pipelines to support business growth.,Pandas, Flutter, Azure,16M VND/month - 31M VND/month,Remote,KMS Technology,Entry-Level,Data Science,Contract-Type,2/8/2022,https://kms-technology.com/careers/,https://topdev.vn/viec-lam/java-developer-axon-active-vietnam-tai-da-nang-2043762,8695,8695",DevOps Engineer,0.040795281473099486,0.040795281473099486,0.14240802091633467,0.22399858386253363
API Developer,Optimize mobile-first interfaces using Python and Kubernetes for KMS Technology's IoT integrations to enhance user experience.,"Django, Pandas, Python, Kubernetes",59M VND/month - 69M VND/month,Ho Chi Minh City,KMS Technology,Senior-Level,Data Science,Full-Time,23/10/2022,https://kms-technology.com/careers/,https://itviec.com/viec-lam-it/senior-java-developer-fpt-software-2055,8705,8705,"API Developer,Optimize mobile-first interfaces using Python and Kubernetes for KMS Technology's IoT integrations to enhance user experience.,Django, Pandas, Python, Kubernetes,59M VND/month - 69M VND/month,Ho Chi Minh City,KMS Technology,Senior-Level,Data Science,Full-Time,23/10/2022,https://kms-technology.com/careers/,https://itviec.com/viec-lam-it/senior-java-developer-fpt-software-2055,8705,8705",API Developer,0.10230335825962023,0.10230335825962023,0.10298876583878602,0.3075954823580265
Machine Learning Engineer,Implement cloud-based solutions using AWS and Spring for KMS Technology's machine learning models to enhance user experience.,"AWS, Spring",32M VND/month - 46M VND/month,Hanoi,KMS Technology,Mid-Level,Cybersecurity,Part-Time,12/1/2022,https://kms-technology.com/careers/,https://www.vietnamworks.com/viec-lam/senior-web-developer-tai-da-nang-1609876-en,8829,8829,"Machine Learning Engineer,Implement cloud-based solutions using AWS and Spring for KMS Technology's machine learning models to enhance user experience.,AWS, Spring,32M VND/month - 46M VND/month,Hanoi,KMS Technology,Mid-Level,Cybersecurity,Part-Time,12/1/2022,https://kms-technology.com/careers/,https://www.vietnamworks.com/viec-lam/senior-web-developer-tai-da-nang-1609876-en,8829,8829",Machine Learning Engineer,0.1829404575681807,0.1829404575681807,0.04514138076732799,0.4110222959036894
Machine Learning Engineer,Integrate real-time data platforms using Python and Node.js for VNG's machine learning models to enhance user experience.,"Node.js, Python",64M VND/month - 77M VND/month,Hanoi,VNG,Senior-Level,Data Science,Part-Time,13/10/2022,https://career.vng.com.vn/,https://www.vietnamworks.com/viec-lam/machine-learning-engineer-vng-1854969,8912,8912,"Machine Learning Engineer,Integrate real-time data platforms using Python and Node.js for VNG's machine learning models to enhance user experience.,Node.js, Python,64M VND/month - 77M VND/month,Hanoi,VNG,Senior-Level,Data Science,Part-Time,13/10/2022,https://career.vng.com.vn/,https://www.vietnamworks.com/viec-lam/machine-learning-engineer-vng-1854969,8912,8912",Machine Learning Engineer,0.19362457411925563,0.1936245741192555,0.29886193598272975,0.6861110842212408
Machine Learning Engineer,Enhance real-time data platforms using Java and Flutter for KMS Technology's CI/CD pipelines to reduce latency.,"Flutter, Django, Pandas, Java",32M VND/month - 46M VND/month,Ho Chi Minh City,KMS Technology,Mid-Level,Mobile Development,Full-Time,28/5/2022,https://kms-technology.com/careers/,https://topdev.vn/viec-lam/machine-learning-engineer-kms-technology-tai-ha-noi-5174096,8958,8958,"Machine Learning Engineer,Enhance real-time data platforms using Java and Flutter for KMS Technology's CI/CD pipelines to reduce latency.,Flutter, Django, Pandas, Java,32M VND/month - 46M VND/month,Ho Chi Minh City,KMS Technology,Mid-Level,Mobile Development,Full-Time,28/5/2022,https://kms-technology.com/careers/,https://topdev.vn/viec-lam/machine-learning-engineer-kms-technology-tai-ha-noi-5174096,8958,8958",Machine Learning Engineer,0.05252382621717603,0.05252382621717618,0.09892548834669739,0.2039731407810496
Java Backend Developer,Integrate AI-driven tools using Java and Python for KMS Technology's machine learning models to optimize workflows.,"Python, Java, Node.js",36M VND/month - 49M VND/month,Hai Phong,KMS Technology,Mid-Level,Data Science,Part-Time,23/6/2022,https://kms-technology.com/careers/,https://itviec.com/viec-lam-it/full-stack-developer-net-reactjs-tma-solutions-1942,9635,9635,"Java Backend Developer,Integrate AI-driven tools using Java and Python for KMS Technology's machine learning models to optimize workflows.,Python, Java, Node.js,36M VND/month - 49M VND/month,Hai Phong,KMS Technology,Mid-Level,Data Science,Part-Time,23/6/2022,https://kms-technology.com/careers/,https://itviec.com/viec-lam-it/full-stack-developer-net-reactjs-tma-solutions-1942,9635,9635",Java Backend Developer,0.11318049242915566,0.11318049242915595,0.18928779749156752,0.4156487823498791
API Developer,Build real-time data platforms using Flutter and Django for KMS Technology's machine learning models to enhance user experience.,"Django, Java, Flutter",34M VND/month - 44M VND/month,Remote,KMS Technology,Mid-Level,Data Science,Full-Time,10/11/2022,https://kms-technology.com/careers/,https://www.vietnamworks.com/viec-lam/api-developer-kms-technology-1970823,9688,9688,"API Developer,Build real-time data platforms using Flutter and Django for KMS Technology's machine learning models to enhance user experience.,Django, Java, Flutter,34M VND/month - 44M VND/month,Remote,KMS Technology,Mid-Level,Data Science,Full-Time,10/11/2022,https://kms-technology.com/careers/,https://www.vietnamworks.com/viec-lam/api-developer-kms-technology-1970823,9688,9688",API Developer,0.23196030835134676,0.23196030835134693,0.3333333333333333,0.797253950036027
Machine Learning Engineer,Enhance real-time data platforms using Spring and Kubernetes for KMS Technology's cloud infrastructure to reduce latency.,"Spring, Kubernetes, React",56M VND/month - 61M VND/month,Hanoi,KMS Technology,Senior-Level,Software Development,Full-Time,10/2/2022,https://kms-technology.com/careers/,https://www.vietnamworks.com/viec-lam/machine-learning-engineer-kms-technology-3450035,9792,9792,"Machine Learning Engineer,Enhance real-time data platforms using Spring and Kubernetes for KMS Technology's cloud infrastructure to reduce latency.,Spring, Kubernetes, React,56M VND/month - 61M VND/month,Hanoi,KMS Technology,Senior-Level,Software Development,Full-Time,10/2/2022,https://kms-technology.com/careers/,https://www.vietnamworks.com/viec-lam/machine-learning-engineer-kms-technology-3450035,9792,9792",Machine Learning Engineer,0.06618874627286253,0.06618874627286238,0.06437459254009219,0.1967520850858171
Data Scientist,Optimize e-commerce systems using React and Java for KMS Technology's cloud infrastructure to enhance user experience.,"Flutter, Java, React, Django",25M VND/month - 35M VND/month,Hanoi,KMS Technology,Entry-Level,Data Science,Part-Time,17/9/2022,https://kms-technology.com/careers/,https://topdev.vn/viec-lam/data-scientist-kms-technology-tai-ho-chi-minh-7492925,10016,10016,"Data Scientist,Optimize e-commerce systems using React and Java for KMS Technology's cloud infrastructure to enhance user experience.,Flutter, Java, React, Django,25M VND/month - 35M VND/month,Hanoi,KMS Technology,Entry-Level,Data Science,Part-Time,17/9/2022,https://kms-technology.com/careers/,https://topdev.vn/viec-lam/data-scientist-kms-technology-tai-ho-chi-minh-7492925,10016,10016",Data Scientist,0.07119029391931697,0.07119029391931653,0.14088760157108116,0.28326818940971465
API Developer,Optimize web applications using Flutter and Python for KMS Technology's machine learning models to drive innovation.,"Flutter, Python",38M VND/month - 46M VND/month,Hanoi,KMS Technology,Mid-Level,Data Science,Full-Time,9/9/2022,https://kms-technology.com/careers/,https://www.vietnamworks.com/viec-lam/api-developer-kms-technology-6950140,10250,10250,"API Developer,Optimize web applications using Flutter and Python for KMS Technology's machine learning models to drive innovation.,Flutter, Python,38M VND/month - 46M VND/month,Hanoi,KMS Technology,Mid-Level,Data Science,Full-Time,9/9/2022,https://kms-technology.com/careers/,https://www.vietnamworks.com/viec-lam/api-developer-kms-technology-6950140,10250,10250",API Developer,0.06358053307072709,0.06358053307072738,0.0652001672489974,0.19236123339045186
Machine Learning Engineer,Integrate cloud-based solutions using SQL and Python for KMS Technology's data pipelines to enhance user experience.,"Kubernetes, Java, Python, SQL",22M VND/month - 29M VND/month,Hanoi,KMS Technology,Entry-Level,Web Development,Contract-Type,30/6/2022,https://kms-technology.com/careers/,https://www.vietnamworks.com/viec-lam/machine-learning-engineer-kms-technology-8447834,10352,10352,"Machine Learning Engineer,Integrate cloud-based solutions using SQL and Python for KMS Technology's data pipelines to enhance user experience.,Kubernetes, Java, Python, SQL,22M VND/month - 29M VND/month,Hanoi,KMS Technology,Entry-Level,Web Development,Contract-Type,30/6/2022,https://kms-technology.com/careers/,https://www.vietnamworks.com/viec-lam/machine-learning-engineer-kms-technology-8447834,10352,10352",Machine Learning Engineer,0.29513472714925487,0.29513472714925504,0.24529142566473006,0.8355608799632399
API Developer,Build financial services using Flutter and Spring for KMS Technology's machine learning models to enable real-time processing.,"Django, SQL, Flutter, Spring",35M VND/month - 44M VND/month,Hanoi,KMS Technology,Mid-Level,Data Science,Contract-Type,20/10/2022,https://kms-technology.com/careers/,https://topdev.vn/viec-lam/cloud-engineer-viettel-solutions-tai-ha-noi-2043654,10387,10387,"API Developer,Build financial services using Flutter and Spring for KMS Technology's machine learning models to enable real-time processing.,Django, SQL, Flutter, Spring,35M VND/month - 44M VND/month,Hanoi,KMS Technology,Mid-Level,Data Science,Contract-Type,20/10/2022,https://kms-technology.com/careers/,https://topdev.vn/viec-lam/cloud-engineer-viettel-solutions-tai-ha-noi-2043654,10387,10387",API Developer,0.05001758287892066,0.05001758287892052,0.0012851370704760612,0.10132030282831725
Data Scientist,Design e-commerce systems using Python and Kubernetes for KMS Technology's blockchain protocols to enhance user experience.,"Python, Kubernetes",34M VND/month - 41M VND/month,Remote,KMS Technology,Mid-Level,Web Development,Full-Time,9/5/2022,https://kms-technology.com/careers/,https://itviec.com/viec-lam-it/data-scientist-kms-technology-6697,10656,10656,"Data Scientist,Design e-commerce systems using Python and Kubernetes for KMS Technology's blockchain protocols to enhance user experience.,Python, Kubernetes,34M VND/month - 41M VND/month,Remote,KMS Technology,Mid-Level,Web Development,Full-Time,9/5/2022,https://kms-technology.com/careers/,https://itviec.com/viec-lam-it/data-scientist-kms-technology-6697,10656,10656",Data Scientist,0.07543503589889511,0.07543503589889526,0.05795570422133108,0.20882577601912147
Machine Learning Engineer,Optimize real-time data platforms using Kubernetes and Java for Haravan's machine learning models to enhance user experience.,"Kubernetes, Spring, Java, Pandas",55M VND/month - 61M VND/month,Hanoi,Haravan,Senior-Level,Web Development,Full-Time,13/3/2022,https://www.haravan.com/careers/,https://topdev.vn/viec-lam/cloud-engineer-viettel-solutions-tai-ha-noi-2043654,10787,10787,"Machine Learning Engineer,Optimize real-time data platforms using Kubernetes and Java for Haravan's machine learning models to enhance user experience.,Kubernetes, Spring, Java, Pandas,55M VND/month - 61M VND/month,Hanoi,Haravan,Senior-Level,Web Development,Full-Time,13/3/2022,https://www.haravan.com/careers/,https://topdev.vn/viec-lam/cloud-engineer-viettel-solutions-tai-ha-noi-2043654,10787,10787",Machine Learning Engineer,0.035092792760234914,0.035092792760234914,0.15315333856379265,0.22333892408426248
DevOps Engineer,Enhance real-time data platforms using Spring and Azure for KMS Technology's cloud infrastructure to enhance user experience.,"Azure, Spring",56M VND/month - 67M VND/month,Hanoi,KMS Technology,Senior-Level,Mobile Development,Part-Time,2/12/2022,https://kms-technology.com/careers/,https://www.vietnamworks.com/viec-lam/java-web-developer-tai-ha-noi-1612345-en,10885,10885,"DevOps Engineer,Enhance real-time data platforms using Spring and Azure for KMS Technology's cloud infrastructure to enhance user experience.,Azure, Spring,56M VND/month - 67M VND/month,Hanoi,KMS Technology,Senior-Level,Mobile Development,Part-Time,2/12/2022,https://kms-technology.com/careers/,https://www.vietnamworks.com/viec-lam/java-web-developer-tai-ha-noi-1612345-en,10885,10885",DevOps Engineer,0.001675142884177916,0.00167514288417762,0.0675875284940221,0.07093781426237764
Java Backend Developer,Lead enterprise software using Node.js and Python for KMS Technology's machine learning models to enable real-time processing.,"Python, Node.js",21M VND/month - 33M VND/month,Hanoi,KMS Technology,Entry-Level,Mobile Development,Full-Time,7/3/2022,https://kms-technology.com/careers/,https://www.vietnamworks.com/viec-lam/java-web-developer-tai-ha-noi-1612345-en,11007,11007,"Java Backend Developer,Lead enterprise software using Node.js and Python for KMS Technology's machine learning models to enable real-time processing.,Python, Node.js,21M VND/month - 33M VND/month,Hanoi,KMS Technology,Entry-Level,Mobile Development,Full-Time,7/3/2022,https://kms-technology.com/careers/,https://www.vietnamworks.com/viec-lam/java-web-developer-tai-ha-noi-1612345-en,11007,11007",Java Backend Developer,0.050495689493079254,0.0504956894930794,0.1448892605533277,0.24588063953948636
Machine Learning Engineer,Integrate microservices architecture using React and Azure for KMS Technology's data pipelines to enhance user experience.,"Azure, React",59M VND/month - 70M VND/month,Ho Chi Minh City,KMS Technology,Senior-Level,Software Development,Full-Time,11/12/2022,https://kms-technology.com/careers/,https://www.vietnamworks.com/viec-lam/machine-learning-engineer-kms-technology-5570399,11084,11084,"Machine Learning Engineer,Integrate microservices architecture using React and Azure for KMS Technology's data pipelines to enhance user experience.,Azure, React,59M VND/month - 70M VND/month,Ho Chi Minh City,KMS Technology,Senior-Level,Software Development,Full-Time,11/12/2022,https://kms-technology.com/careers/,https://www.vietnamworks.com/viec-lam/machine-learning-engineer-kms-technology-5570399,11084,11084",Machine Learning Engineer,0.19598112903285703,0.19598112903285733,0.09900975041982048,0.49097200848553485
Machine Learning Engineer,Develop microservices architecture using Django and Java for KMS Technology's machine learning models to increase security.,"Azure, Django, Java",52M VND/month - 59M VND/month,Da Nang,KMS Technology,Senior-Level,Cybersecurity,Full-Time,4/11/2022,https://kms-technology.com/careers/,https://itviec.com/viec-lam-it/machine-learning-engineer-kms-technology-6911,11410,11410,"Machine Learning Engineer,Develop microservices architecture using Django and Java for KMS Technology's machine learning models to increase security.,Azure, Django, Java,52M VND/month - 59M VND/month,Da Nang,KMS Technology,Senior-Level,Cybersecurity,Full-Time,4/11/2022,https://kms-technology.com/careers/,https://itviec.com/viec-lam-it/machine-learning-engineer-kms-technology-6911,11410,11410",Machine Learning Engineer,0.11804106260050595,0.1180410626005061,0.010944501985032199,0.24702662718604426
